                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.293,                0.85297,                 1.3134,                 1.3931,                0.85729,                 1.3417,                0.88987,                0.87216,                0.91627,                0.59538,                 1.3067,                0.69893,                 1.4017,                 1.3576,                0.62307,                 1.4167,               0.007987,               0.007987,               0.007987
                     64,                 1.2831,                0.85811,                 1.3075,                  1.376,                0.88888,                 1.3362,                0.89597,                0.84146,                0.90785,                0.59892,                 1.2943,                0.69109,                 1.3948,                 1.3419,                0.62346,                  1.417,               0.007954,               0.007954,               0.007954
                     65,                 1.2848,                0.84872,                 1.3177,                 1.3777,                0.87577,                 1.3449,                0.87959,                 0.8588,                0.91209,                0.59779,                 1.2882,                0.68977,                 1.3975,                 1.3413,                0.65196,                 1.4235,               0.007921,               0.007921,               0.007921
                     66,                 1.2745,                0.84784,                 1.3036,                 1.3645,                0.87786,                 1.3312,                 0.8826,                0.86367,                0.91187,                0.59606,                 1.2899,                0.69762,                 1.3947,                 1.3325,                0.66845,                 1.4188,               0.007888,               0.007888,               0.007888
                     67,                 1.2728,                0.83814,                 1.2963,                 1.3649,                0.86291,                 1.3307,                0.88777,                0.85673,                 0.9165,                0.60519,                 1.2804,                 0.6763,                  1.385,                 1.3383,                0.60938,                 1.4182,               0.007855,               0.007855,               0.007855
                     68,                 1.2759,                0.83052,                 1.2988,                 1.3661,                0.84872,                 1.3288,                0.88539,                0.84742,                0.90924,                0.59776,                 1.2792,                0.67655,                 1.3906,                 1.3331,                0.62591,                 1.4263,               0.007822,               0.007822,               0.007822
                     69,                 1.2574,                0.82775,                 1.2985,                 1.3463,                0.83472,                 1.3304,                0.88447,                0.85427,                0.91485,                0.60179,                 1.2708,                0.67429,                 1.3904,                 1.3225,                0.63128,                 1.4199,               0.007789,               0.007789,               0.007789
                     70,                 1.2469,                 0.8129,                 1.2905,                 1.3437,                0.82869,                 1.3248,                 0.8709,                0.87372,                0.91607,                0.59942,                 1.2742,                0.67414,                 1.3828,                 1.3244,                0.61831,                 1.4172,               0.007756,               0.007756,               0.007756
                     71,                 1.2472,                0.81635,                 1.2851,                 1.3365,                0.84407,                 1.3177,                0.87646,                0.87504,                0.91671,                0.60505,                 1.2665,                0.65618,                 1.3762,                 1.3167,                  0.613,                 1.4071,               0.007723,               0.007723,               0.007723
                     72,                 1.2428,                0.81471,                 1.2795,                 1.3329,                0.82752,                 1.3123,                0.89261,                0.85647,                0.91184,                0.60101,                 1.2638,                0.66213,                  1.372,                 1.3138,                0.62895,                  1.407,                0.00769,                0.00769,                0.00769
