                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3682,                0.94347,                 1.3647,                0.87873,                0.86055,                0.90174,                0.55172,                 1.4135,                0.81185,                 1.4792,               0.008548,               0.008548,               0.008548
                     47,                 1.3673,                0.94321,                 1.3586,                0.85647,                0.86271,                 0.9022,                 0.5665,                 1.4119,                0.80753,                 1.4601,               0.008515,               0.008515,               0.008515
                     48,                 1.3753,                 0.9404,                  1.359,                0.88229,                0.84325,                0.90308,                0.56575,                 1.4107,                0.80513,                 1.4782,               0.008482,               0.008482,               0.008482
                     49,                 1.3642,                0.93034,                 1.3508,                0.85393,                0.87226,                0.89729,                 0.5706,                 1.4024,                0.78743,                 1.4774,               0.008449,               0.008449,               0.008449
                     50,                 1.3617,                0.93937,                 1.3517,                0.89346,                0.84898,                 0.9027,                0.57068,                 1.3932,                0.79252,                  1.473,               0.008416,               0.008416,               0.008416
                     51,                 1.3392,                 0.9327,                 1.3381,                0.88088,                0.83626,                0.89832,                0.56916,                 1.3856,                0.78437,                 1.4508,               0.008383,               0.008383,               0.008383
                     52,                 1.3541,                0.91847,                  1.346,                0.88205,                0.85783,                0.90923,                 0.5738,                 1.3967,                0.77576,                 1.4549,                0.00835,                0.00835,                0.00835
                     53,                 1.3398,                0.91259,                 1.3402,                0.87051,                0.87463,                0.90538,                0.57743,                 1.3854,                0.75945,                 1.4595,               0.008317,               0.008317,               0.008317
                     54,                 1.3303,                0.91302,                 1.3306,                0.87331,                0.87379,                0.91779,                 0.5863,                 1.3551,                0.75113,                 1.4344,               0.008284,               0.008284,               0.008284
                     55,                   1.33,                0.89318,                 1.3232,                0.85988,                0.87734,                 0.9044,                 0.5769,                 1.3657,                0.74461,                 1.4301,               0.008251,               0.008251,               0.008251
                     56,                  1.316,                0.87655,                 1.3227,                0.87215,                0.86538,                0.91796,                0.58598,                  1.363,                0.74373,                 1.4431,               0.008218,               0.008218,               0.008218
                     57,                 1.3317,                0.88612,                 1.3292,                0.87274,                0.87131,                0.91468,                0.57615,                 1.3706,                0.75203,                 1.4359,               0.008185,               0.008185,               0.008185
                     58,                 1.3039,                0.87294,                 1.3137,                0.89466,                0.88632,                0.92519,                0.59857,                 1.3498,                0.72052,                 1.4247,               0.008152,               0.008152,               0.008152
                     59,                 1.3072,                0.87785,                 1.3212,                0.88838,                0.86263,                0.91974,                0.58882,                  1.369,                0.72745,                 1.4465,               0.008119,               0.008119,               0.008119
                     60,                 1.3005,                0.87112,                 1.3131,                0.89123,                0.87603,                0.91312,                0.58783,                 1.3539,                0.72167,                 1.4359,               0.008086,               0.008086,               0.008086
                     61,                 1.2947,                0.86544,                 1.3062,                0.88326,                0.87705,                0.91965,                0.59307,                 1.3499,                0.71801,                  1.425,               0.008053,               0.008053,               0.008053
                     62,                 1.3013,                0.85948,                 1.3095,                0.89105,                0.87477,                0.92654,                0.59284,                 1.3572,                0.70414,                 1.4232,                0.00802,                0.00802,                0.00802
                     63,                 1.2914,                0.85691,                 1.3088,                0.90633,                0.87384,                0.92508,                0.59403,                 1.3644,                0.70918,                 1.4231,               0.007987,               0.007987,               0.007987
                     64,                 1.2898,                0.85119,                 1.2977,                0.87656,                0.90062,                0.92624,                0.59353,                 1.3259,                0.69285,                 1.4062,               0.007954,               0.007954,               0.007954
                     65,                 1.2873,                0.84463,                 1.3082,                0.90533,                0.87181,                0.92328,                0.59507,                 1.3445,                0.69608,                 1.4122,               0.007921,               0.007921,               0.007921
                     66,                 1.2758,                0.82963,                 1.2891,                 0.8833,                0.89169,                0.92752,                0.60209,                 1.3337,                0.69214,                 1.3994,               0.007888,               0.007888,               0.007888
                     67,                 1.2659,                0.83845,                 1.2893,                0.89609,                0.88864,                0.92945,                0.60968,                  1.336,                0.68157,                 1.3971,               0.007855,               0.007855,               0.007855
                     68,                 1.2735,                0.82972,                 1.2922,                0.88309,                0.89477,                0.92811,                 0.6003,                 1.3523,                0.68773,                 1.4134,               0.007822,               0.007822,               0.007822
                     69,                 1.2736,                0.83133,                 1.2935,                0.89215,                0.89129,                0.92844,                0.60431,                 1.3397,                0.68385,                  1.417,               0.007789,               0.007789,               0.007789
                     70,                 1.2698,                0.82849,                 1.2938,                0.90156,                0.89055,                0.93008,                0.60836,                  1.332,                0.66727,                 1.4185,               0.007756,               0.007756,               0.007756
                     71,                  1.254,                0.81017,                 1.2792,                0.88825,                0.89891,                 0.9304,                0.61224,                 1.3221,                0.66412,                 1.4037,               0.007723,               0.007723,               0.007723
                     72,                 1.2403,                0.80068,                 1.2708,                0.90306,                0.88846,                0.93241,                 0.6101,                 1.3224,                0.66708,                 1.4009,                0.00769,                0.00769,                0.00769
                     73,                 1.2614,                0.80962,                 1.2799,                0.91075,                0.86272,                0.92775,                0.60336,                 1.3368,                0.66313,                 1.4035,               0.007657,               0.007657,               0.007657
                     74,                 1.2415,                0.79463,                 1.2749,                0.89489,                0.89025,                0.93148,                0.60647,                 1.3206,                0.66107,                 1.4082,               0.007624,               0.007624,               0.007624
                     75,                 1.2386,                0.80154,                 1.2757,                 0.8916,                0.88244,                0.93039,                0.61355,                 1.2992,                0.66191,                 1.3965,               0.007591,               0.007591,               0.007591
                     76,                  1.223,                 0.7861,                 1.2691,                0.88927,                0.88507,                0.92974,                0.61339,                 1.3084,                0.65772,                 1.3999,               0.007558,               0.007558,               0.007558
                     77,                 1.2324,                0.78916,                 1.2655,                0.91077,                0.88878,                0.93446,                0.61209,                 1.3141,                0.65918,                 1.3907,               0.007525,               0.007525,               0.007525
                     78,                 1.2308,                0.78897,                  1.267,                 0.9154,                0.88265,                0.93741,                0.61354,                   1.31,                0.65519,                 1.3849,               0.007492,               0.007492,               0.007492
                     79,                  1.232,                0.78485,                 1.2553,                0.89536,                0.87962,                0.93309,                0.61649,                 1.3073,                0.65552,                 1.3808,               0.007459,               0.007459,               0.007459
                     80,                 1.2267,                0.78518,                 1.2621,                0.89647,                0.89337,                0.92996,                 0.6231,                 1.2918,                0.64345,                 1.3706,               0.007426,               0.007426,               0.007426
                     81,                 1.2173,                 0.7852,                 1.2619,                0.90572,                 0.8919,                0.93759,                0.62602,                 1.2871,                 0.6317,                 1.3726,               0.007393,               0.007393,               0.007393
                     82,                 1.2149,                0.77152,                 1.2539,                0.89903,                0.88112,                0.93594,                0.62788,                 1.2742,                0.63446,                 1.3661,                0.00736,                0.00736,                0.00736
                     83,                   1.22,                0.77081,                 1.2542,                0.91542,                0.88652,                0.93664,                0.62703,                 1.2739,                0.63373,                 1.3692,               0.007327,               0.007327,               0.007327
                     84,                 1.2126,                0.76115,                  1.251,                0.90192,                0.88716,                 0.9358,                0.62532,                 1.2822,                0.62459,                 1.3662,               0.007294,               0.007294,               0.007294
                     85,                 1.2027,                0.76824,                 1.2429,                0.89551,                0.89609,                0.93653,                0.62772,                 1.2816,                0.62641,                 1.3646,               0.007261,               0.007261,               0.007261
                     86,                 1.2113,                0.75926,                 1.2558,                0.89556,                0.88385,                0.93072,                0.62715,                 1.2771,                0.62441,                 1.3607,               0.007228,               0.007228,               0.007228
                     87,                 1.1987,                0.75778,                 1.2439,                 0.9016,                0.90213,                0.93869,                0.63038,                 1.2835,                0.61432,                 1.3658,               0.007195,               0.007195,               0.007195
                     88,                 1.2076,                  0.761,                   1.25,                0.90977,                0.89469,                0.93291,                0.62724,                 1.2943,                 0.6184,                 1.3739,               0.007162,               0.007162,               0.007162
                     89,                  1.195,                0.75713,                 1.2454,                0.91348,                0.89923,                0.94094,                0.63118,                 1.2863,                0.61253,                 1.3688,               0.007129,               0.007129,               0.007129
                     90,                 1.1942,                0.75931,                 1.2452,                0.90953,                0.88864,                0.93622,                0.62574,                 1.2845,                0.61225,                 1.3716,               0.007096,               0.007096,               0.007096
                     91,                   1.19,                0.75032,                 1.2413,                0.91848,                0.88505,                0.93639,                0.62617,                 1.2785,                0.61482,                 1.3632,               0.007063,               0.007063,               0.007063
                     92,                 1.1845,                0.75465,                 1.2334,                0.90769,                 0.8959,                 0.9415,                0.62916,                 1.2811,                0.60899,                 1.3678,                0.00703,                0.00703,                0.00703
                     93,                 1.1777,                0.74065,                  1.231,                 0.9116,                0.88433,                0.93703,                0.63354,                 1.2781,                0.60534,                 1.3614,               0.006997,               0.006997,               0.006997
                     94,                 1.1766,                0.75123,                 1.2278,                0.90812,                0.89626,                0.93696,                0.63374,                 1.2769,                0.60637,                 1.3581,               0.006964,               0.006964,               0.006964
                     95,                 1.1574,                0.73008,                 1.2173,                0.91426,                0.89664,                0.93939,                0.63728,                 1.2696,                0.60443,                 1.3534,               0.006931,               0.006931,               0.006931
                     96,                 1.1705,                0.73497,                 1.2217,                0.91088,                0.89847,                 0.9405,                0.63401,                 1.2626,                0.59997,                 1.3459,               0.006898,               0.006898,               0.006898
                     97,                 1.1593,                0.72239,                 1.2151,                0.91644,                0.89192,                0.94268,                0.63574,                 1.2608,                0.59595,                 1.3429,               0.006865,               0.006865,               0.006865
                     98,                 1.1546,                0.72066,                 1.2135,                  0.927,                0.89194,                0.94485,                 0.6377,                 1.2552,                0.59439,                 1.3386,               0.006832,               0.006832,               0.006832
                     99,                 1.1529,                 0.7265,                 1.2165,                0.89966,                0.91913,                0.94674,                 0.6371,                 1.2556,                0.59147,                 1.3417,               0.006799,               0.006799,               0.006799
                    100,                 1.1596,                0.72864,                 1.2209,                0.90257,                0.91919,                0.94808,                0.64012,                 1.2483,                0.58665,                 1.3409,               0.006766,               0.006766,               0.006766
                    101,                 1.1503,                0.72145,                 1.2176,                0.89494,                0.90702,                0.94773,                0.63938,                 1.2423,                0.59212,                 1.3384,               0.006733,               0.006733,               0.006733
                    102,                  1.147,                0.71916,                 1.2102,                0.89159,                0.90162,                0.94659,                0.64102,                 1.2467,                0.58992,                 1.3434,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.1564,                0.71189,                 1.2225,                 0.9155,                0.88227,                0.94655,                0.63978,                 1.2541,                0.59136,                 1.3493,               0.006667,               0.006667,               0.006667
                    104,                 1.1394,                0.69813,                 1.2115,                0.89739,                0.90469,                0.94516,                0.63838,                 1.2591,                 0.5882,                 1.3532,               0.006634,               0.006634,               0.006634
                    105,                 1.1528,                0.71727,                 1.2227,                0.90437,                0.90983,                0.94904,                0.64315,                 1.2572,                0.58381,                 1.3519,               0.006601,               0.006601,               0.006601
                    106,                 1.1388,                0.71241,                 1.2093,                 0.9159,                0.89443,                0.94907,                0.64153,                 1.2572,                0.58629,                 1.3493,               0.006568,               0.006568,               0.006568
                    107,                 1.1364,                0.70458,                  1.208,                0.92082,                0.89701,                 0.9498,                0.64278,                 1.2533,                0.58552,                 1.3457,               0.006535,               0.006535,               0.006535
                    108,                  1.129,                0.70469,                 1.2032,                0.91769,                0.88878,                0.94629,                 0.6452,                 1.2487,                0.58576,                 1.3413,               0.006502,               0.006502,               0.006502
                    109,                 1.1254,                0.69297,                 1.1967,                0.92284,                0.88942,                0.94646,                0.64549,                 1.2476,                0.58263,                 1.3398,               0.006469,               0.006469,               0.006469
                    110,                 1.1213,                0.69111,                 1.1978,                0.92544,                0.88974,                0.94615,                0.64761,                 1.2429,                 0.5805,                 1.3362,               0.006436,               0.006436,               0.006436
                    111,                 1.1272,                0.69858,                 1.2041,                0.90569,                0.90001,                0.94725,                0.65094,                 1.2423,                0.58177,                 1.3338,               0.006403,               0.006403,               0.006403
                    112,                 1.1135,                0.69154,                 1.1922,                0.91763,                0.89671,                0.94698,                0.65048,                 1.2472,                 0.5779,                 1.3374,                0.00637,                0.00637,                0.00637
                    113,                 1.1241,                0.68475,                 1.1942,                0.91633,                0.89831,                0.94689,                0.65267,                 1.2448,                0.57941,                 1.3351,               0.006337,               0.006337,               0.006337
                    114,                  1.116,                0.69311,                 1.1916,                0.91093,                0.90541,                0.94688,                0.65497,                 1.2415,                0.57912,                 1.3349,               0.006304,               0.006304,               0.006304
                    115,                 1.1191,                 0.6816,                 1.1943,                0.91151,                0.89911,                0.94666,                0.65374,                 1.2398,                0.57975,                 1.3349,               0.006271,               0.006271,               0.006271
                    116,                 1.1092,                0.69314,                 1.1864,                0.91768,                0.89511,                0.94741,                0.65446,                 1.2379,                0.57919,                 1.3334,               0.006238,               0.006238,               0.006238
                    117,                 1.0963,                0.66146,                 1.1811,                 0.9176,                0.89085,                 0.9486,                0.65355,                 1.2359,                0.57789,                 1.3316,               0.006205,               0.006205,               0.006205
                    118,                 1.0982,                0.67605,                 1.1877,                0.92857,                0.88762,                0.95016,                0.65576,                 1.2366,                0.57365,                 1.3323,               0.006172,               0.006172,               0.006172
                    119,                 1.1031,                0.66374,                 1.1877,                0.93085,                0.88695,                0.95011,                0.65498,                 1.2348,                0.57131,                 1.3303,               0.006139,               0.006139,               0.006139
                    120,                 1.1045,                0.68007,                 1.1871,                0.91538,                0.89934,                0.95127,                0.65439,                 1.2362,                0.56972,                 1.3306,               0.006106,               0.006106,               0.006106
                    121,                 1.0973,                0.66264,                 1.1809,                0.91957,                0.89561,                0.95168,                0.65536,                 1.2345,                0.56884,                 1.3299,               0.006073,               0.006073,               0.006073
                    122,                 1.0962,                 0.6653,                 1.1813,                0.92314,                0.89275,                0.95079,                  0.656,                 1.2334,                0.56795,                 1.3284,                0.00604,                0.00604,                0.00604
                    123,                 1.0854,                 0.6668,                 1.1787,                0.92607,                0.89226,                  0.949,                0.65621,                 1.2352,                0.56822,                 1.3292,               0.006007,               0.006007,               0.006007
                    124,                 1.0827,                0.65999,                 1.1775,                0.92439,                0.89574,                0.94868,                0.65541,                 1.2358,                0.56835,                 1.3291,               0.005974,               0.005974,               0.005974
                    125,                  1.081,                0.65893,                 1.1744,                0.92825,                  0.891,                0.94964,                 0.6553,                 1.2355,                0.56961,                 1.3282,               0.005941,               0.005941,               0.005941
                    126,                 1.0833,                0.65046,                 1.1763,                0.93809,                0.89494,                0.95017,                0.65505,                 1.2378,                0.56837,                 1.3291,               0.005908,               0.005908,               0.005908
                    127,                 1.0747,                0.65888,                 1.1675,                 0.9364,                0.89071,                0.95025,                0.65426,                 1.2374,                0.56815,                 1.3284,               0.005875,               0.005875,               0.005875
                    128,                 1.0857,                0.65969,                 1.1774,                0.93535,                0.89402,                0.95054,                0.65339,                 1.2373,                0.56825,                 1.3281,               0.005842,               0.005842,               0.005842
                    129,                 1.0775,                0.65834,                 1.1751,                0.93426,                0.88973,                0.94967,                0.65281,                 1.2378,                0.56755,                 1.3277,               0.005809,               0.005809,               0.005809
                    130,                 1.0726,                0.65036,                 1.1712,                0.93221,                0.89085,                0.94923,                0.65179,                  1.238,                0.56653,                 1.3268,               0.005776,               0.005776,               0.005776
                    131,                 1.0664,                0.64413,                 1.1666,                0.93362,                0.89045,                0.95028,                0.65341,                 1.2391,                0.56373,                 1.3274,               0.005743,               0.005743,               0.005743
                    132,                 1.0705,                0.64971,                 1.1706,                0.93169,                0.88976,                 0.9504,                0.65221,                 1.2377,                0.56246,                 1.3251,                0.00571,                0.00571,                0.00571
                    133,                 1.0654,                0.64141,                 1.1628,                   0.93,                0.88968,                0.95019,                0.65185,                 1.2365,                0.56152,                 1.3249,               0.005677,               0.005677,               0.005677
                    134,                 1.0601,                0.63828,                 1.1641,                0.93372,                0.88749,                0.95059,                0.65276,                 1.2346,                0.55909,                 1.3236,               0.005644,               0.005644,               0.005644
                    135,                 1.0617,                0.63525,                 1.1555,                0.93235,                0.89061,                0.94961,                0.65337,                 1.2327,                0.55655,                 1.3222,               0.005611,               0.005611,               0.005611
                    136,                 1.0613,                0.63586,                 1.1542,                0.93134,                0.89063,                0.95049,                 0.6539,                 1.2306,                0.55624,                  1.321,               0.005578,               0.005578,               0.005578
